model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
Log_Reg,0,import,0,60.0,70.0
Log_Reg,0,      import,0,60.0,70.0
Log_Reg,1,mport numpy,0,60.0,70.0
Log_Reg,1,port pandas,0,60.0,70.0
Log_Reg,1,port numpy,0,60.0,70.0
Log_Reg,1,import numpy,1,60.0,70.0
Log_Reg,1,import numpy as np,1,60.0,70.0
Log_Reg,0,import csv,1,60.0,70.0
Log_Reg,1,import pandas as pd,1,60.0,70.0
Log_Reg,1,import pandas,1,60.0,70.0
model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
Nav_Bay,0,import,0,70.0,60.0
Nav_Bay,0,      import,0,70.0,60.0
Nav_Bay,1,mport numpy,0,70.0,60.0
Nav_Bay,1,port pandas,0,70.0,60.0
Nav_Bay,0,port numpy,0,70.0,60.0
Nav_Bay,1,import numpy,1,70.0,60.0
Nav_Bay,1,import numpy as np,1,70.0,60.0
Nav_Bay,0,import csv,1,70.0,60.0
Nav_Bay,1,import pandas as pd,1,70.0,60.0
Nav_Bay,1,import pandas,1,70.0,60.0
model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
KNN,0,import,0,90.0,60.0
KNN,0,      import,0,90.0,60.0
KNN,1,mport numpy,0,90.0,60.0
KNN,0,port pandas,0,90.0,60.0
KNN,0,port numpy,0,90.0,60.0
KNN,1,import numpy,1,90.0,60.0
KNN,1,import numpy as np,1,90.0,60.0
KNN,1,import csv,1,90.0,60.0
KNN,1,import pandas as pd,1,90.0,60.0
KNN,1,import pandas,1,90.0,60.0
model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
SVM,0,import,0,90.0,40.0
SVM,0,      import,0,90.0,40.0
SVM,0,mport numpy,0,90.0,40.0
SVM,0,port pandas,0,90.0,40.0
SVM,0,port numpy,0,90.0,40.0
SVM,1,import numpy,1,90.0,40.0
SVM,1,import numpy as np,1,90.0,40.0
SVM,0,import csv,1,90.0,40.0
SVM,1,import pandas as pd,1,90.0,40.0
SVM,1,import pandas,1,90.0,40.0
model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
Dec_Tre,0,import,0,70.0,60.0
Dec_Tre,0,      import,0,70.0,60.0
Dec_Tre,1,mport numpy,0,70.0,60.0
Dec_Tre,1,port pandas,0,70.0,60.0
Dec_Tre,0,port numpy,0,70.0,60.0
Dec_Tre,1,import numpy,1,70.0,60.0
Dec_Tre,1,import numpy as np,1,70.0,60.0
Dec_Tre,0,import csv,1,70.0,60.0
Dec_Tre,1,import pandas as pd,1,70.0,60.0
Dec_Tre,1,import pandas,1,70.0,60.0
