model_name,predicted_score,code,true_score,accuracy
Log_Reg,0,import,0,37.5
Log_Reg,0,      import,0,37.5
Log_Reg,1,import pandas,1,37.5
Log_Reg,1,mport numpy,0,37.5
Log_Reg,0,import csv,1,37.5
Log_Reg,0,if a ==b:,1,37.5
Log_Reg,0,else:,1,37.5
Log_Reg,0,ellif p>5:,1,37.5
model_name,predicted_score,code,true_score,accuracy
Nav_Bay,0,import,0,37.5
Nav_Bay,0,      import,0,37.5
Nav_Bay,1,import pandas,1,37.5
Nav_Bay,1,mport numpy,0,37.5
Nav_Bay,0,import csv,1,37.5
Nav_Bay,0,if a ==b:,1,37.5
Nav_Bay,0,else:,1,37.5
Nav_Bay,0,ellif p>5:,1,37.5
model_name,predicted_score,code,true_score,accuracy
KNN,0,import,0,37.5
KNN,0,      import,0,37.5
KNN,1,import pandas,1,37.5
KNN,1,mport numpy,0,37.5
KNN,0,import csv,1,37.5
KNN,0,if a ==b:,1,37.5
KNN,0,else:,1,37.5
KNN,0,ellif p>5:,1,37.5
model_name,predicted_score,code,true_score,accuracy
SVM,0,import,0,75.0
SVM,0,      import,0,75.0
SVM,1,import pandas,1,75.0
SVM,0,mport numpy,0,75.0
SVM,0,import csv,1,75.0
SVM,1,if a ==b:,1,75.0
SVM,1,else:,1,75.0
SVM,0,ellif p>5:,1,75.0
model_name,predicted_score,code,true_score,accuracy
Dec_Tre,0,import,0,75.0
Dec_Tre,0,      import,0,75.0
Dec_Tre,1,import pandas,1,75.0
Dec_Tre,1,mport numpy,0,75.0
Dec_Tre,0,import csv,1,75.0
Dec_Tre,1,if a ==b:,1,75.0
Dec_Tre,1,else:,1,75.0
Dec_Tre,1,ellif p>5:,1,75.0
