model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
Log_Reg,0,if a < c:,1,60.0,40.0
Log_Reg,0,if 9 > a:,1,60.0,40.0
Log_Reg,0,else:,1,60.0,40.0
Log_Reg,1,elif b>5:,1,60.0,40.0
Log_Reg,1,elif p<9:,1,60.0,40.0
Log_Reg,0,if c =,0,60.0,40.0
Log_Reg,0,if a = b,0,60.0,40.0
Log_Reg,0,else,0,60.0,40.0
Log_Reg,1,elif b<,0,60.0,40.0
Log_Reg,0,eli,0,60.0,40.0
model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
Log_Reg,0,if a < c:,1,60.0,40.0
Log_Reg,0,if 9 > a:,1,60.0,40.0
Log_Reg,0,else:,1,60.0,40.0
Log_Reg,1,elif b>5:,1,60.0,40.0
Log_Reg,1,elif p<9:,1,60.0,40.0
Log_Reg,0,if c =,0,60.0,40.0
Log_Reg,0,if a = b,0,60.0,40.0
Log_Reg,0,else,0,60.0,40.0
Log_Reg,1,elif b<,0,60.0,40.0
Log_Reg,0,eli,0,60.0,40.0
model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
Log_Reg,1,if a < c:,1,50.0,70.0
Log_Reg,1,if 9 > a:,1,50.0,70.0
Log_Reg,1,else:,1,50.0,70.0
Log_Reg,0,elif b>5:,1,50.0,70.0
Log_Reg,0,elif p<9:,1,50.0,70.0
Log_Reg,1,if c =,0,50.0,70.0
Log_Reg,1,if a = b,0,50.0,70.0
Log_Reg,1,else,0,50.0,70.0
Log_Reg,0,elif b<,0,50.0,70.0
Log_Reg,0,eli,0,50.0,70.0
model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
Log_Reg,1,if a < c:,1,50.0,70.0
Log_Reg,1,if 9 > a:,1,50.0,70.0
Log_Reg,1,else:,1,50.0,70.0
Log_Reg,0,elif b>5:,1,50.0,70.0
Log_Reg,0,elif p<9:,1,50.0,70.0
Log_Reg,1,if c =,0,50.0,70.0
Log_Reg,1,if a = b,0,50.0,70.0
Log_Reg,1,else,0,50.0,70.0
Log_Reg,0,elif b<,0,50.0,70.0
Log_Reg,0,eli,0,50.0,70.0
model_name,predicted_score,code,true_score,accuracy fo model(%),accuracy of codes(%)
Log_Reg,1,if a < c:,1,50.0,70.0
Log_Reg,1,if 9 > a:,1,50.0,70.0
Log_Reg,1,else:,1,50.0,70.0
Log_Reg,0,elif b>5:,1,50.0,70.0
Log_Reg,0,elif p<9:,1,50.0,70.0
Log_Reg,1,if c =,0,50.0,70.0
Log_Reg,1,if a = b,0,50.0,70.0
Log_Reg,1,else,0,50.0,70.0
Log_Reg,0,elif b<,0,50.0,70.0
Log_Reg,0,eli,0,50.0,70.0
